name,smiles,sigma_para,sigma_meta,pi,es,mr,type,category
-H,[H],0.0,0.0,0.0,0.0,1.03,neutral,other
-CH3,*C,-0.17,-0.07,0.56,-1.24,5.65,EDG,alkyl
-C2H5,*CC,-0.15,-0.07,1.02,-1.31,10.3,EDG,alkyl
-iPr,*C(C)C,-0.15,-0.07,1.53,-1.71,14.96,EDG,alkyl
-tBu,*C(C)(C)C,-0.2,-0.1,1.98,-2.78,19.62,EDG,alkyl
-F,*F,0.06,0.34,0.14,-0.46,0.92,EWG,halogen
-Cl,*Cl,0.23,0.37,0.71,-0.97,6.03,EWG,halogen
-Br,*Br,0.23,0.39,0.86,-1.16,8.88,EWG,halogen
-I,*I,0.18,0.35,1.12,-1.4,13.94,EWG,halogen
-CF3,*C(F)(F)F,0.54,0.43,0.88,-2.4,5.02,EWG,alkyl
-OH,*O,-0.37,0.12,-0.67,-0.55,2.85,EDG,hydroxyl
-OCH3,*OC,-0.27,0.12,-0.02,-0.55,7.87,EDG,ether
-OC2H5,*OCC,-0.24,0.1,0.38,-0.55,12.47,EDG,ether
-OCF3,*OC(F)(F)F,0.35,0.38,1.04,,7.87,EWG,ether
-NH2,*N,-0.66,-0.16,-1.23,-0.61,5.42,EDG,amino
-NHCH3,*NC,-0.84,-0.3,-0.47,,10.33,EDG,amino
-N(CH3)2,*N(C)C,-0.83,-0.15,0.18,,15.55,EDG,amino
-NO2,*[N+](=O)[O-],0.78,0.71,-0.28,-2.52,7.36,EWG,nitro
-CN,*C#N,0.66,0.56,-0.57,-0.51,6.33,EWG,cyano
-COOH,*C(=O)O,0.45,0.36,-0.32,-2.53,6.93,EWG,carbonyl
-COCH3,*C(=O)C,0.5,0.38,-0.55,,11.18,EWG,carbonyl
-CHO,*C=O,0.42,0.35,-0.65,,6.88,EWG,carbonyl
-CONH2,*C(=O)N,0.36,0.28,-1.49,,9.81,EWG,carbonyl
-CONHCH3,*C(=O)NC,0.36,0.35,-1.27,,14.43,EWG,carbonyl
-SO2NH2,*S(=O)(=O)N,0.57,0.46,-1.82,,12.28,EWG,sulfonyl
-Ph,*c1ccccc1,0.01,0.06,1.96,-3.82,25.36,neutral,aryl
-NHAc,*NC(=O)C,0.0,0.21,-0.97,,14.93,neutral,amino
-SCH3,*SC,0.0,0.15,0.61,-1.07,13.82,neutral,thiol
-SH,*S,0.15,0.25,0.39,-1.07,9.22,EWG,thiol
-NHSO2CH3,*NS(=O)(=O)C,0.03,0.2,-1.18,,17.75,EWG,amino
